STD_CODE,REGIS_YEAR,REGIS_SEMESTER
5951500304,2560,2
5951500312,2559,1
5951500320,2559,1
6051000013,2564,2
6051000062,2565,2
6051000070,2564,2
6051000088,2560,2
6051000088,2564,2
6051000096,2560,2
6051000104,2560,2
6051000112,2565,2
6051000112,2566,2
6051000146,2560,2
6051000161,2561,2
6051000187,2561,1
6051000203,2560,2
6051000211,2562,1
6051000211,2562,2
6051000211,2563,1
6051000211,2563,2
6051000229,2562,1
6051000229,2564,2
6051000229,2565,2
6051000237,2560,2
6051000245,2560,2
6051000310,2564,2
6051000336,2560,2
6051000377,2565,2
6051000401,2562,1
6051000419,2564,2
6051000476,2563,2
6051000518,2564,2
6051000534,2562,2
6051000567,2563,2
6051000591,2561,2
6051000609,2562,2
6051000609,2566,2
6051000609,2567,2
6051000617,2564,2
6051000625,2560,2
6051000633,2560,2
6051000641,2560,2
6051000641,2561,2
6051000682,2561,1
6051000682,2561,2
6051000682,2563,1
6051000682,2563,2
6051000682,2565,1
6051000682,2565,2
6051000682,2566,1
6051000690,2560,2
6051000708,2565,2
6051000716,2560,2
6051000724,2560,2
6051000732,2560,2
6051000765,2565,2
6051000799,2564,2
6051000849,2560,2
6051000856,2560,2
6051000880,2561,2
6051000906,2562,2
6051000930,2562,2
6051000948,2560,2
6051000971,2560,2
6051000989,2563,1
6051000989,2563,2
6051000989,2565,1
6051000997,2564,2
6051001003,2560,2
6051001003,2562,1
6051001011,2560,2
6051001029,2564,2
6051001037,2563,2
6051001045,2561,2
6051001052,2562,1
6051001060,2560,2
6051001078,2560,2
6051001102,2566,2
6051001102,2567,2
6051001169,2563,2
6051001185,2561,2
6051001201,2560,2
6051001235,2561,2
6051001235,2562,1
6051001250,2562,2
6051001268,2562,2
6051001276,2564,2
6051001284,2563,2
6051001300,2560,2
6051001326,2560,2
6051001334,2563,2
6051001359,2560,2
6051001367,2560,2
6051001391,2560,2
6051001417,2563,2
6051001425,2563,2
6051001433,2560,2
6051001458,2564,2
6051001482,2560,2
6051001490,2560,2
6051001516,2560,2
6051001524,2564,2
6051001532,2560,2
6051001565,2563,2
6051001573,2560,2
6051001581,2564,2
6051001599,2563,2
6051001607,2560,2
6051001615,2562,2
6051001631,2563,2
6051001649,2563,2
6051001664,2565,2
6051090022,2560,2
6051090030,2560,2
6051090048,2560,2
6051090055,2560,2
6051090063,2560,2
6051090089,2560,2
6051090105,2562,2
6051090121,2560,2
6051090139,2560,2
6051090147,2560,2
6051500012,2560,1
6051500012,2563,2
6051500020,2560,1
6051500020,2563,2
6051500038,2560,1
6051500046,2560,1
6051500053,2560,1
6051500061,2560,1
6051500061,2562,2
6051500079,2560,1
6051500087,2560,1
6051500095,2560,1
6051500103,2560,1
6051500111,2560,1
6051500111,2564,2
6051500129,2560,1
6051500137,2560,1
6051500137,2563,2
6051500145,2560,1
6051500152,2560,1
6051500152,2563,2
6051500160,2560,1
6051500160,2563,2
6051500178,2560,1
6051500178,2562,2
6051500186,2560,1
6051500194,2560,1
6051500202,2560,1
6051500202,2564,1
6051500210,2560,1
6051500210,2561,2
6051500228,2560,1
6051500236,2560,1
6051500236,2561,1
6051500236,2561,2
6051500244,2560,1
6051500251,2560,1
6051590013,2560,1
6051590021,2560,1
6051590039,2560,1
6051590047,2560,1
6051590047,2561,2
6151000012,2561,2
6151000038,2561,2
6151000061,2564,1
6151000061,2566,2
6151000061,2567,1
6151000079,2561,2
6151000087,2563,2
6151000095,2563,2
6151000145,2565,2
6151000152,2567,2
6151000178,2564,2
6151000186,2564,2
6151000202,2567,2
6151000236,2563,2
6151000293,2563,2
6151000301,2562,2
6151000335,2564,2
6151000350,2564,2
6151000368,2564,2
6151000384,2561,2
6151000392,2561,2
6151000400,2561,2
6151000442,2563,2
6151000475,2564,2
6151000533,2561,2
6151000541,2565,2
6151000566,2564,2
6151000616,2564,1
6151000624,2562,2
6151000632,2561,2
6151000657,2561,2
6151000673,2561,2
6151000673,2566,2
6151000707,2565,2
6151000715,2561,2
6151000731,2561,2
6151000749,2561,2
6151000814,2564,1
6151000822,2563,2
6151000855,2561,2
6151000863,2564,2
6151000962,2561,2
6151000970,2561,2
6151000996,2563,2
6151001002,2564,2
6151001010,2566,2
6151001036,2564,2
6151001044,2561,2
6151001051,2563,1
6151001051,2563,2
6151001069,2564,2
6151001085,2561,2
6151001101,2562,2
6151001119,2565,2
6151001135,2561,2
6151001150,2561,2
6151001168,2561,2
6151001218,2561,2
6151001226,2561,2
6151001234,2563,2
6151001259,2564,2
6151001275,2561,2
6151001283,2565,1
6151001283,2565,2
6151001291,2562,1
6151001291,2562,2
6151001317,2561,2
6151001333,2561,2
6151001341,2561,2
6151001358,2561,2
6151001366,2566,2
6151001374,2563,2
6151001382,2561,2
6151001390,2561,2
6151001408,2567,1
6151001424,2561,2
6151001465,2566,2
6151001481,2561,2
6151001515,2564,2
6151001531,2561,2
6151090013,2564,2
6151090021,2561,2
6151090039,2561,2
6151500011,2561,1
6151500011,2564,2
6151500029,2561,1
6151500037,2561,1
6151500045,2561,1
6151500052,2561,1
6151500060,2561,1
6151500078,2561,1
6151500078,2566,2
6151500086,2561,1
6151500094,2561,1
6151500102,2561,1
6151500102,2566,2
6151500110,2561,1
6151500128,2561,1
6151500128,2566,2
6151500136,2561,1
6151500144,2561,1
6151500144,2566,2
6151500151,2561,1
6151500151,2562,2
6151500169,2561,1
6151500177,2561,1
6151500185,2561,1
6151500193,2561,1
6151500201,2561,1
6151500219,2561,1
6151500219,2567,1
6151500227,2561,1
6151500227,2566,2
6151500235,2561,1
6151500243,2561,1
6151500243,2562,1
6151500250,2561,1
6151500250,2562,1
6151500250,2562,2
6151500250,2563,1
